smiles,bin_activity
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC(OCCC4=CC=C(F)C(F)=C4)=CN32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC[C@H](N(C)C)C4=CC(F)=C(F)C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(F)C4=CC=C(F)C(F)=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)(O)C4=CC(F)=C(F)C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC(C=CC=C5)=C5C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)(F)C4=CC(F)=C(F)C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C(Cl)=NC=C(OCCC4=CC(F)=C(F)C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(C(F)=CC(F)=C5)C5=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC4=CC=C(S(F)(F)(F)(F)F)C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC[C@H](N)C4=CC(F)=C(F)C=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(CCCC4=CC=CC=C4)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4=CC(F)=C(F)C=C4)=O)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NCC4=C(Cl)C(C(F)(F)F)=CC=C4)=O)N32,1
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(CCCC4=CC(F)=C(F)C=C4)N32,1
